Area,Garage,FirePlace,Baths,White Marble,Black Marble,Indian Marble,Floors,City,Solar,Electric,Fiber,Glass Doors,Swiming Pool,Garden,Prices
164,2,0,2,0,1,0,0,3,1,1,1,1,0,0,43800
84,2,0,4,0,0,1,1,2,0,0,0,1,1,1,37550
190,2,4,4,1,0,0,0,2,0,0,1,0,0,0,49500
75,2,4,4,0,0,1,1,1,1,1,1,1,1,1,50075
148,1,4,2,1,0,0,1,2,1,0,0,1,1,1,52400
124,3,3,3,0,1,0,1,1,0,0,1,1,1,1,54300
58,1,0,2,0,0,1,0,3,0,1,1,1,0,1,34400
249,2,1,1,1,0,0,1,1,0,1,0,1,1,0,50425
243,1,0,2,0,0,1,1,1,0,0,0,0,1,0,29575
242,1,2,4,0,0,1,0,2,1,0,0,0,1,0,22300
61,2,4,5,0,0,1,1,1,1,0,1,1,1,1,49725
189,2,0,4,0,1,0,0,2,1,1,0,1,1,1,31675
160,2,0,2,0,1,0,1,1,1,1,0,1,0,0,39950
5,3,3,3,1,0,0,1,3,1,1,1,0,1,0,64375
160,3,3,1,0,0,1,1,3,0,0,0,0,1,0,38500
215,3,4,1,0,0,1,0,1,0,0,0,0,1,1,18625
113,1,0,5,0,1,0,1,3,1,0,0,0,1,0,42325
244,3,3,3,0,1,0,1,1,1,0,1,0,0,0,53100
197,2,3,5,0,1,0,1,3,0,1,0,1,0,0,53625
102,2,3,2,0,0,1,1,3,1,1,0,0,0,0,38300
154,3,4,5,1,0,0,1,2,1,1,1,0,0,0,67850
4,3,3,5,1,0,0,0,1,1,1,1,0,0,0,44850
51,1,1,3,0,0,1,0,1,1,1,0,1,0,1,17725
220,1,1,4,0,0,1,1,2,1,1,1,0,0,1,49000
20,3,0,3,0,1,0,1,3,0,0,0,1,1,1,44700
171,1,1,3,1,0,0,0,3,1,0,0,1,1,1,40475
34,1,2,4,1,0,0,1,2,1,1,0,1,1,0,51800
53,2,3,2,0,0,1,0,3,1,0,1,0,1,0,32575
122,3,1,1,0,1,0,1,1,1,1,1,0,1,1,47300
180,1,2,4,1,0,0,0,3,0,1,1,0,0,0,51000
110,1,1,4,0,1,0,1,3,0,1,1,1,1,1,58950
238,2,4,3,1,0,0,0,1,1,1,0,0,0,1,35700
146,3,4,3,0,0,1,1,3,1,0,0,1,0,0,46100
66,3,4,4,0,0,1,0,3,1,1,0,1,0,1,31600
139,1,4,5,0,0,1,1,3,1,0,1,1,1,1,57175
30,3,4,1,1,0,0,0,2,0,1,1,1,0,0,48950
5,1,3,1,0,0,1,0,1,1,1,0,0,1,0,11125
212,3,1,3,0,0,1,1,1,0,0,0,1,0,1,38250
237,3,1,4,0,1,0,0,3,1,0,1,1,1,1,49125
35,3,3,2,0,1,0,0,3,1,1,1,1,0,0,44325
97,1,0,2,1,0,0,1,2,1,0,1,0,1,0,55425
193,1,1,4,1,0,0,1,1,1,1,1,1,0,1,63275
36,1,2,1,0,1,0,0,2,0,1,0,1,0,1,23850
179,3,0,1,1,0,0,1,2,1,1,0,1,1,0,53175
155,1,1,4,0,1,0,0,1,1,1,1,0,1,1,33875
136,3,1,5,0,0,1,0,1,0,1,1,0,1,0,32400
207,3,4,4,1,0,0,0,2,0,0,1,1,0,1,55875
65,2,0,3,0,0,1,1,2,1,0,0,1,1,1,36075
246,3,1,5,0,1,0,1,1,1,1,1,1,0,1,59850
14,3,1,3,0,1,0,0,1,1,1,0,0,1,1,20350
217,1,2,3,1,0,0,1,2,0,1,1,1,0,0,66625
233,1,2,1,1,0,0,0,1,1,0,1,0,0,1,40575
237,1,3,4,1,0,0,1,3,0,1,0,1,1,0,60875
2,1,2,4,0,0,1,1,2,0,0,1,0,1,1,42800
163,2,4,5,0,1,0,1,1,0,1,1,1,0,1,58275
173,2,1,5,0,1,0,0,3,1,1,1,0,0,1,44075
71,2,1,1,0,0,1,0,1,0,0,0,0,1,0,11275
37,3,0,1,0,1,0,1,1,1,1,0,0,0,1,32675
150,1,0,3,1,0,0,1,2,1,0,1,0,0,1,58000
222,3,1,4,1,0,0,1,3,1,1,1,1,1,1,74000
197,1,1,3,0,0,1,1,2,1,0,1,1,0,1,50375
149,3,3,5,1,0,0,0,3,1,1,1,0,1,1,55475
161,3,4,4,1,0,0,1,3,0,0,0,1,1,0,61475
62,2,1,2,1,0,0,0,1,0,1,1,1,1,1,43750
144,1,1,2,0,0,1,1,3,1,1,1,0,1,0,48100
238,2,3,4,0,0,1,0,1,1,1,0,1,0,0,26650
240,1,0,3,1,0,0,1,1,0,1,0,1,0,1,50450
187,3,4,5,0,0,1,0,1,1,1,0,1,0,0,28875
79,2,0,2,0,1,0,0,1,1,1,0,1,1,0,22925
44,3,1,1,1,0,0,1,1,0,0,0,0,0,0,41100
62,1,3,2,1,0,0,1,1,0,0,0,0,1,1,41300
2,1,2,1,1,0,0,0,2,0,1,1,1,0,0,43750
101,3,2,4,0,0,1,0,1,1,1,0,0,1,0,19525
164,1,2,5,1,0,0,1,2,1,1,1,0,0,0,63600
30,1,3,2,0,1,0,1,2,1,0,0,1,1,1,39700
115,1,3,2,1,0,0,0,3,1,0,0,0,1,0,34875
112,3,2,4,0,1,0,1,3,1,0,0,1,1,1,50000
183,3,1,4,0,0,1,1,1,0,1,1,0,0,1,47325
70,1,1,1,0,0,1,1,2,0,1,0,1,1,1,33950
108,2,1,2,1,0,0,1,3,1,1,1,1,0,0,67150
152,2,2,2,0,0,1,1,2,1,0,1,1,0,1,50250
18,3,1,2,0,0,1,0,3,0,1,0,0,1,0,20950
84,3,0,2,0,1,0,1,3,1,0,1,1,0,1,57050
68,2,3,4,0,1,0,0,3,0,1,0,1,1,0,34150
245,1,4,5,0,1,0,1,3,0,0,1,1,0,1,64575
249,2,0,3,1,0,0,0,1,1,0,0,1,0,1,36175
30,2,4,5,0,1,0,1,3,1,0,0,0,1,1,44750
118,1,3,2,1,0,0,1,2,0,0,1,0,0,0,57950
128,2,3,3,0,0,1,1,2,1,1,1,0,1,1,48450
112,2,3,5,0,0,1,0,2,1,1,1,1,0,0,40000
213,2,1,1,1,0,0,1,3,0,1,1,1,1,0,68275
73,1,0,2,0,1,0,1,2,1,0,0,0,1,1,34075
231,2,2,3,0,1,0,1,3,1,0,1,1,0,0,61975
215,2,4,1,0,0,1,0,3,0,0,1,1,1,0,40325
183,3,4,5,0,1,0,1,3,1,0,1,1,1,0,66275
142,3,3,1,0,0,1,0,2,0,0,0,1,0,0,24000
195,1,1,5,1,0,0,0,1,0,1,0,1,1,0,37575
133,1,1,4,1,0,0,1,2,1,1,1,1,0,1,65275
233,1,0,2,0,1,0,1,1,0,0,0,1,0,0,38775
99,3,0,3,0,0,1,0,3,1,1,1,1,0,0,39925
235,3,1,5,1,0,0,0,1,1,0,0,0,0,0,36125
221,1,3,5,1,0,0,1,3,0,0,0,0,1,1,56025
144,2,0,1,0,0,1,0,3,1,0,1,0,1,1,31350
241,2,1,4,0,1,0,1,3,1,0,1,1,1,1,62725
206,2,0,1,1,0,0,1,2,0,1,1,0,0,0,59400
40,3,4,4,1,0,0,1,2,1,1,1,1,1,1,68200
143,1,4,2,0,1,0,0,2,0,1,0,1,1,0,29275
47,2,3,4,1,0,0,0,2,0,0,1,1,0,0,49625
214,1,3,2,0,0,1,1,1,0,0,0,1,1,0,35550
95,2,3,3,0,1,0,1,1,1,0,0,1,1,1,40575
57,2,0,2,0,0,1,0,2,1,0,0,0,0,0,15175
5,2,1,4,0,1,0,0,2,1,1,0,1,0,0,27825
79,3,3,1,0,0,1,0,3,0,0,0,1,1,0,25925
104,1,4,4,1,0,0,1,1,0,0,0,1,1,0,50050
196,3,1,3,0,1,0,1,3,1,1,0,1,0,0,51350
162,1,3,3,0,1,0,1,3,0,1,0,1,0,1,48750
67,3,4,1,1,0,0,1,3,1,0,1,0,0,0,62925
169,1,4,4,0,0,1,1,1,0,0,0,1,0,1,37675
216,3,2,5,0,0,1,0,1,1,0,1,0,0,1,34150
106,1,2,5,0,1,0,1,2,0,1,0,0,1,1,41150
182,1,4,2,0,1,0,0,2,0,1,1,1,1,1,42000
76,2,1,4,1,0,0,1,3,1,0,0,1,1,1,55850
22,3,4,4,1,0,0,0,3,0,0,0,0,1,0,38550
113,2,1,2,0,1,0,0,1,0,0,1,0,0,0,30325
57,1,2,3,0,0,1,1,1,0,1,0,1,1,0,33375
150,1,4,3,0,1,0,0,2,1,0,1,0,1,1,37000
1,2,2,3,0,0,1,0,3,1,1,1,1,1,1,37475
209,1,3,3,0,1,0,0,1,1,0,1,1,0,1,38675
33,3,2,3,1,0,0,1,1,0,1,1,0,0,1,57075
160,3,3,5,0,1,0,1,1,1,0,1,1,1,0,57950
229,2,1,1,0,0,1,0,2,0,1,0,1,1,0,24425
18,3,4,2,0,1,0,0,1,1,1,1,1,1,1,37650
87,3,0,5,0,1,0,1,2,1,1,0,0,1,0,42425
246,1,0,5,0,0,1,0,2,1,0,0,0,0,0,22150
142,3,2,2,0,1,0,0,2,1,1,0,0,1,0,26550
144,2,3,4,0,0,1,1,1,1,0,0,0,1,0,33600
88,1,4,5,0,0,1,0,2,0,1,1,0,0,0,33950
77,3,4,3,1,0,0,1,1,1,1,1,0,0,0,59925
134,3,3,3,0,1,0,1,1,1,0,1,0,1,0,50350
140,3,1,3,0,1,0,1,2,0,1,1,1,0,0,57950
148,2,1,5,0,0,1,0,2,1,0,0,1,1,0,26400
54,1,2,3,0,0,1,1,2,0,1,1,1,1,0,48550
229,3,2,3,1,0,0,0,2,1,1,1,0,0,0,50725
139,3,0,2,0,1,0,1,2,1,1,0,1,1,1,44425
38,2,0,4,0,0,1,0,2,1,0,1,1,1,1,33400
76,1,2,5,0,0,1,0,1,0,0,0,0,0,0,15650
91,1,2,3,0,1,0,0,3,1,1,1,1,0,1,43225
249,3,2,2,0,1,0,0,3,1,1,0,0,1,0,32725
247,2,0,3,0,1,0,1,3,0,1,0,0,0,0,45675
236,1,4,3,0,1,0,0,1,0,1,1,0,0,1,36650
170,2,4,1,1,0,0,1,2,1,1,0,0,1,0,50000
245,2,2,5,0,1,0,1,3,0,1,1,0,1,1,61375
29,3,2,3,0,0,1,0,3,1,0,0,1,1,0,26675
78,3,4,3,1,0,0,0,3,0,1,1,0,0,0,51700
205,1,0,4,1,0,0,1,3,0,0,0,0,1,0,52125
201,3,1,2,0,0,1,0,1,1,0,1,0,1,0,29275
205,1,0,5,1,0,0,0,1,1,0,1,1,0,0,47825
200,2,2,2,1,0,0,1,1,1,0,0,1,1,1,50200
18,3,2,1,0,0,1,1,3,1,1,1,0,1,0,47450
172,3,3,5,1,0,0,0,1,1,1,1,1,1,0,53500
22,2,0,2,0,1,0,1,3,0,0,1,1,1,1,53750
4,1,0,1,0,0,1,0,2,1,0,1,0,1,1,22850
128,3,2,2,0,0,1,1,3,0,0,1,0,0,1,49950
117,2,4,5,0,1,0,0,1,1,0,1,0,0,0,36675
166,3,0,3,0,0,1,0,3,1,1,0,1,0,1,29850
218,1,3,5,0,0,1,1,3,1,0,1,0,1,0,53950
5,3,4,2,0,1,0,0,1,1,1,1,0,1,0,32875
32,2,4,3,0,0,1,1,3,0,0,0,0,1,1,37050
99,1,4,3,1,0,0,1,1,0,0,0,0,0,0,44225
156,1,0,4,1,0,0,0,3,0,0,0,1,1,0,40350
150,3,4,5,1,0,0,1,3,0,0,1,0,0,1,69750
210,3,3,3,0,1,0,0,1,1,1,0,1,1,0,31200
61,3,0,5,1,0,0,0,2,0,1,1,0,1,0,47275
206,1,1,2,1,0,0,1,1,0,1,0,1,1,1,49100
6,2,2,2,0,1,0,1,3,0,0,0,1,1,0,43100
95,1,3,2,0,0,1,0,3,0,0,1,0,1,0,31875
242,2,1,5,0,1,0,0,2,0,0,0,1,0,1,33500
4,1,1,5,1,0,0,0,3,1,0,0,0,0,1,34350
203,3,2,2,1,0,0,1,2,0,1,0,1,1,1,56275
96,1,3,2,0,1,0,1,3,1,0,1,0,0,0,52150
152,2,0,3,0,0,1,0,3,1,0,1,1,0,1,38500
162,1,0,3,0,0,1,1,1,1,1,0,1,0,0,34750
215,1,1,2,1,0,0,1,1,1,1,1,0,0,1,56875
160,2,3,2,0,0,1,0,2,1,0,1,1,1,1,36200
31,1,3,5,1,0,0,0,2,1,1,0,1,1,1,38725
35,3,0,1,1,0,0,0,2,0,0,0,0,0,1,28625
213,2,1,2,0,0,1,0,1,1,0,1,1,0,1,32525
122,2,4,2,1,0,0,1,3,0,0,0,1,0,0,56500
243,1,1,3,1,0,0,0,1,0,1,0,0,0,0,31825
97,2,4,2,1,0,0,1,3,1,0,0,1,1,1,56125
95,1,0,3,0,1,0,0,1,0,0,1,0,0,0,28875
80,3,3,2,0,1,0,0,3,0,0,0,0,0,0,27750
104,2,3,3,0,1,0,1,1,0,0,0,1,1,0,40550
21,1,1,4,0,1,0,1,1,1,0,0,0,1,1,32525
36,2,0,2,0,0,1,0,1,1,0,1,0,1,1,22900
12,2,1,4,0,0,1,0,2,0,0,1,0,0,0,28800
11,1,3,5,1,0,0,0,2,0,0,0,1,1,0,36725
201,1,4,4,0,0,1,0,1,1,0,1,1,1,1,35475
46,3,4,5,0,0,1,1,3,0,1,1,0,0,1,54400
236,3,0,3,1,0,0,0,2,1,0,1,0,0,1,48150
62,1,2,4,0,1,0,0,3,1,0,0,1,1,1,30750
22,1,3,3,1,0,0,0,2,0,1,0,1,1,0,35750
96,3,4,3,0,0,1,0,2,0,0,0,1,0,1,26100
24,2,3,1,0,0,1,1,3,1,0,0,0,1,1,33850
231,2,0,3,0,1,0,1,3,0,1,0,1,0,1,49725
71,3,0,4,1,0,0,0,3,1,0,0,0,0,0,37025
86,2,0,4,0,0,1,1,3,0,1,0,0,0,0,37900
186,2,1,1,1,0,0,1,2,0,1,1,1,1,1,64100
69,3,4,1,1,0,0,0,2,1,1,0,1,1,1,38425
112,1,0,4,1,0,0,0,2,1,1,0,0,1,1,32800
150,3,0,3,0,1,0,0,3,1,0,1,1,1,0,44950
217,1,1,1,0,1,0,1,1,1,0,1,0,1,0,45425
101,1,2,5,0,1,0,0,1,1,0,0,1,1,0,25975
174,3,2,5,1,0,0,0,2,0,0,1,1,1,1,54800
61,3,3,4,0,0,1,0,3,1,1,1,1,0,0,42475
49,2,4,5,0,0,1,1,3,0,0,0,0,1,1,39975
95,2,0,1,0,0,1,0,1,0,0,1,0,1,0,22875
121,2,0,2,1,0,0,1,3,1,1,0,1,0,1,54975
179,3,0,1,1,0,0,1,3,1,1,0,0,0,1,52225
199,1,4,5,0,1,0,0,2,0,1,0,1,1,0,34425
209,3,4,1,0,0,1,0,2,0,0,1,0,0,1,33725
125,1,3,1,0,0,1,1,3,1,1,0,0,1,1,36125
193,3,1,4,1,0,0,0,2,1,1,1,0,1,1,50325
47,3,0,1,0,1,0,0,2,0,1,1,1,1,1,37375
25,1,1,1,0,0,1,0,1,1,0,1,1,1,1,25075
217,2,1,5,1,0,0,0,1,0,1,0,0,1,1,35175
9,1,3,5,0,0,1,1,2,1,0,1,0,0,0,45225
23,1,1,2,1,0,0,0,2,1,1,0,1,0,0,33275
142,1,0,2,0,0,1,1,3,0,0,0,1,1,0,38500
93,2,4,2,0,1,0,0,1,0,1,0,0,1,0,21575
119,1,0,2,0,0,1,0,3,1,0,0,1,1,1,23175
192,2,3,4,1,0,0,0,1,1,0,1,1,0,1,50000
148,3,0,2,1,0,0,1,1,1,0,0,0,0,0,44450
7,2,1,1,0,0,1,1,2,0,0,1,1,0,1,44375
176,2,3,4,1,0,0,0,1,0,0,1,1,0,0,49350
69,1,2,4,1,0,0,1,2,1,1,0,0,0,0,48225
151,2,1,1,0,0,1,0,3,0,1,1,0,0,0,33275
94,3,2,3,1,0,0,1,2,0,0,1,0,1,0,60850
121,2,3,5,1,0,0,0,3,0,1,1,1,0,0,57475
85,3,1,1,1,0,0,0,1,0,0,1,1,1,1,43325
19,2,2,1,0,0,1,1,2,1,1,0,1,1,0,35175
87,3,4,5,1,0,0,0,1,0,1,0,0,0,1,35675
236,3,4,2,0,0,1,0,3,0,1,1,0,1,1,40400
107,2,0,3,0,1,0,0,3,0,1,0,1,0,1,31625
133,2,0,5,1,0,0,1,3,0,0,1,1,1,1,69275
49,1,0,4,0,0,1,1,3,1,1,0,1,1,1,40175
58,2,3,5,0,1,0,1,3,1,0,1,1,0,1,60900
74,3,2,2,1,0,0,0,1,1,1,0,0,1,0,30350
62,3,0,5,1,0,0,0,3,1,1,1,0,0,0,51050
104,1,1,5,0,0,1,0,1,1,0,0,0,0,0,15850
43,1,4,2,0,1,0,0,2,0,1,0,1,1,0,26775
52,3,3,5,0,1,0,1,3,1,1,0,1,0,0,51750
173,2,3,1,1,0,0,1,2,1,0,1,0,0,0,59825
102,2,0,3,1,0,0,0,1,1,0,0,0,0,0,28050
190,1,1,4,0,1,0,1,1,1,0,0,0,0,1,36750
160,3,0,1,0,1,0,1,3,0,0,1,1,0,1,57450
173,2,1,1,0,0,1,1,2,1,1,1,0,0,1,45575
13,2,4,2,1,0,0,1,3,1,1,0,1,0,0,55275
157,2,3,1,0,1,0,0,2,0,1,0,0,0,1,24675
109,3,2,3,0,1,0,0,3,0,1,0,0,1,1,30225
123,1,3,5,1,0,0,1,2,1,1,1,0,1,1,63325
136,2,0,2,0,1,0,1,2,1,1,0,0,1,1,38400
151,3,0,2,0,1,0,0,2,0,1,1,0,1,1,36775
167,2,0,2,0,0,1,1,2,1,0,0,1,0,1,37375
7,2,2,2,0,0,1,0,3,0,1,0,0,1,1,19925
187,1,3,4,0,0,1,1,1,1,1,0,1,0,1,38875
37,2,0,5,0,1,0,1,2,0,1,1,1,1,0,55625
127,2,2,3,0,0,1,1,1,0,1,0,1,1,0,36625
189,3,4,5,0,0,1,1,1,0,0,0,0,1,1,37975
107,3,0,2,1,0,0,0,1,0,0,1,0,0,0,39925
212,3,0,1,0,0,1,0,2,1,1,0,0,1,1,20550
125,3,0,2,1,0,0,0,2,1,0,1,1,0,0,48575
75,2,3,2,0,0,1,1,1,0,0,0,0,0,0,29125
134,1,2,2,0,0,1,1,2,1,1,1,0,1,0,45100
247,2,1,1,0,0,1,1,2,1,1,0,0,1,0,35675
155,1,1,1,0,0,1,1,3,1,0,1,1,0,0,50325
38,3,4,1,0,1,0,0,2,1,1,1,0,0,1,35950
75,3,1,4,1,0,0,1,3,1,1,0,1,0,1,58575
137,2,4,3,0,0,1,0,3,1,0,0,1,0,0,29375
165,3,4,3,0,0,1,0,1,0,1,0,1,1,0,25575
65,3,3,5,0,0,1,1,1,0,0,1,0,1,1,45875
27,1,4,5,0,0,1,0,3,0,0,0,1,0,1,27375
193,2,0,1,0,0,1,1,3,0,0,0,0,0,0,35575
21,3,1,1,0,1,0,0,1,0,0,1,0,0,1,28275
65,3,0,4,0,1,0,0,2,1,0,1,1,0,1,40575
17,1,1,4,0,1,0,0,3,1,1,1,1,0,1,41875
84,3,1,5,0,0,1,0,3,0,1,0,1,0,1,30800
133,2,4,3,0,0,1,1,1,1,1,0,1,0,0,38525
164,2,4,3,1,0,0,0,3,0,1,1,0,1,1,52350
233,3,3,4,1,0,0,1,2,0,0,0,1,1,0,59025
143,3,1,4,1,0,0,1,3,0,1,0,1,1,0,60025
213,3,1,1,1,0,0,0,3,1,0,0,0,1,0,37575
248,3,4,5,1,0,0,0,3,1,1,0,0,0,0,46950
24,3,1,4,0,1,0,1,3,1,0,1,1,1,1,58800
228,1,3,1,0,0,1,1,1,1,0,1,0,0,0,42200
234,2,2,5,0,1,0,0,1,1,1,0,0,0,0,27600
73,1,2,3,1,0,0,1,2,0,1,0,0,0,1,46825
32,3,3,5,1,0,0,0,3,1,0,1,1,1,0,55750
118,3,3,1,0,0,1,0,3,1,1,0,1,1,0,28400
87,1,0,3,0,0,1,1,1,0,0,0,1,1,1,31375
25,1,0,4,1,0,0,1,3,1,1,0,0,1,1,49125
245,1,0,4,0,0,1,1,1,1,1,1,1,0,1,49825
119,3,0,3,0,1,0,1,1,1,0,1,1,0,0,52175
65,2,2,1,1,0,0,0,2,1,1,0,1,1,1,35325
143,3,2,2,0,0,1,1,3,0,0,1,0,0,1,50325
133,1,3,3,0,1,0,0,2,0,1,1,1,1,1,41275
238,1,0,2,1,0,0,1,2,1,1,0,0,0,0,48450
181,2,0,5,0,1,0,0,1,1,0,1,0,1,1,35275
150,1,3,3,1,0,0,0,3,1,0,0,1,0,0,41450
112,1,2,4,0,1,0,1,1,0,1,1,1,1,1,52750
10,2,3,5,0,1,0,1,3,0,1,1,1,0,1,60700
77,3,3,3,0,0,1,1,3,0,0,0,0,1,1,38925
178,1,2,1,1,0,0,1,1,0,0,0,1,1,1,46650
226,1,3,2,0,1,0,1,3,0,0,1,0,1,0,55150
140,3,2,1,1,0,0,0,3,0,1,0,1,1,1,41950
232,1,4,1,1,0,0,1,2,1,1,1,1,1,1,66250
224,1,3,3,0,0,1,1,3,0,1,0,0,0,1,40850
183,2,3,5,1,0,0,1,2,0,0,0,0,0,0,53075
144,3,4,1,1,0,0,1,1,1,1,0,0,0,1,47350
145,3,0,2,0,1,0,1,2,1,0,1,0,1,1,50625
122,2,2,1,0,1,0,0,1,0,0,1,0,0,0,30050
70,1,2,4,1,0,0,1,3,1,0,1,0,0,0,62250
107,2,1,2,1,0,0,0,3,0,1,0,0,1,0,35675
66,3,4,5,0,0,1,0,3,1,0,1,0,1,0,38900
127,2,3,1,0,1,0,1,1,0,0,1,1,0,0,50375
214,2,3,3,0,0,1,0,2,0,1,0,1,0,0,28050
147,1,3,1,1,0,0,1,3,0,0,1,1,0,0,65375
66,3,3,1,1,0,0,0,3,0,1,1,0,0,0,48150
12,2,3,2,0,0,1,1,1,1,0,0,0,0,0,27800
91,3,1,3,1,0,0,0,2,1,0,1,0,0,1,45275
4,3,4,4,0,0,1,0,2,0,1,0,0,0,0,21850
39,2,0,2,0,1,0,1,1,0,1,0,0,1,1,32225
61,2,1,5,1,0,0,0,1,1,0,0,1,0,1,34725
35,3,0,2,1,0,0,1,3,0,0,0,0,0,0,48375
107,1,3,3,1,0,0,1,1,0,0,0,0,0,1,43675
249,2,1,5,0,0,1,1,1,0,0,0,0,0,0,35725
15,3,4,3,0,0,1,1,3,0,1,0,1,0,1,43825
75,1,4,4,0,1,0,0,3,1,0,0,1,0,1,32575
82,2,1,4,0,1,0,1,1,0,1,1,0,0,0,48300
58,2,2,2,1,0,0,1,1,1,1,1,0,0,1,55200
223,2,2,3,0,0,1,0,2,1,1,1,0,0,1,35075
31,2,1,2,0,1,0,0,3,0,0,0,1,0,0,27975
84,2,4,4,0,0,1,1,3,0,0,1,1,0,1,55800
134,3,2,1,1,0,0,1,1,0,0,1,1,0,1,60300
192,1,3,5,0,1,0,0,3,0,1,1,1,0,1,48750
102,1,3,4,1,0,0,1,1,1,0,0,0,1,0,45050
244,2,1,1,0,1,0,1,2,0,1,1,1,0,0,56550
223,2,3,1,0,1,0,1,1,1,1,0,1,1,0,42525
136,3,3,4,1,0,0,0,1,1,0,0,1,0,0,38350
48,1,0,2,0,1,0,1,3,0,1,1,1,1,1,54150
115,2,4,2,0,1,0,0,3,0,0,1,0,0,0,39625
85,1,3,4,0,0,1,0,1,1,0,0,0,1,1,15625
98,2,2,2,1,0,0,0,1,1,1,1,1,1,0,45650
48,2,1,3,0,0,1,0,2,0,1,1,1,1,0,34150
117,2,2,4,1,0,0,1,2,1,0,1,0,1,1,61425
195,1,1,4,0,0,1,0,1,1,0,1,0,0,1,28625
13,1,0,5,0,0,1,0,2,1,0,0,0,0,1,16325
186,2,1,5,0,0,1,1,2,1,1,0,1,1,0,43600
214,2,3,5,1,0,0,0,3,1,0,0,1,1,0,47050
82,2,0,3,1,0,0,1,2,1,1,1,1,0,1,63500
148,2,0,4,0,1,0,0,3,1,1,0,0,0,0,29700
177,3,1,2,0,0,1,1,2,0,0,0,0,0,0,35175
85,1,0,2,1,0,0,1,3,1,0,0,1,0,0,51325
173,2,0,4,1,0,0,0,2,0,0,1,0,1,1,46075
94,2,1,2,1,0,0,0,1,1,1,0,1,1,1,33050
96,1,3,5,0,0,1,0,3,1,0,0,1,1,0,28600
68,1,3,1,0,0,1,0,3,0,0,1,0,0,0,29950
134,1,0,5,1,0,0,1,2,0,1,1,1,1,0,65550
130,3,1,3,0,1,0,0,3,0,1,0,0,1,0,30000
153,2,2,2,0,0,1,0,1,1,1,1,0,0,0,28575
194,1,4,4,0,0,1,0,3,0,0,1,1,1,1,42050
169,1,3,3,1,0,0,0,1,0,1,1,0,0,0,43225
209,1,0,4,1,0,0,0,3,1,1,0,1,1,1,43175
16,3,2,2,0,1,0,0,3,1,0,0,0,1,0,25650
83,3,0,5,0,0,1,1,3,1,0,0,1,1,0,44025
103,1,2,5,0,0,1,1,3,1,1,1,1,1,1,56025
33,1,4,4,0,0,1,1,2,1,0,1,0,0,1,45325
147,1,4,2,0,1,0,0,3,0,1,1,1,0,0,44625
4,1,3,2,0,0,1,1,3,0,0,1,0,0,1,44600
232,1,4,1,0,1,0,1,3,1,0,1,0,0,1,55050
65,1,3,3,0,0,1,0,1,0,1,0,0,0,1,14875
20,2,0,2,0,1,0,0,1,0,0,0,1,0,1,19950
235,2,1,5,0,1,0,0,1,0,0,0,0,0,1,25375
27,3,2,1,0,1,0,1,2,1,0,0,0,1,1,36175
222,2,3,4,0,0,1,0,1,1,1,1,1,0,0,38000
112,2,0,2,1,0,0,0,1,1,1,1,1,1,1,44500
183,3,3,2,1,0,0,0,3,1,0,0,0,0,1,39575
196,2,3,1,0,0,1,1,3,1,0,0,0,1,0,38150
177,2,2,3,1,0,0,1,3,0,1,1,0,0,1,66175
10,3,4,3,1,0,0,0,3,0,1,0,1,1,0,42700
216,3,1,2,0,0,1,1,2,0,0,0,0,0,0,36150
38,1,2,5,1,0,0,1,2,0,0,0,0,0,1,47200
98,2,0,5,0,0,1,1,3,0,0,0,0,1,1,38200
4,1,2,5,0,1,0,0,1,1,0,1,1,1,0,35300
202,2,1,2,0,1,0,0,2,0,1,0,0,0,1,25550
109,3,2,3,0,1,0,0,2,0,0,0,1,0,0,29925
114,3,1,5,0,1,0,1,2,1,0,0,1,0,1,47050
